qid_	label_	f0	f1	f2	f3	f4
0	1.0	1.0	1.0	0.0	0.0	4.0376024246000002
0	1.0	1.0	1.0	0.0	-0	3.9416275023999998
0	1.0	1.0	0.0	1.0	-0	3.5193796158000001
0	1.0	1.0	1.0	0.0	-0	3.5193796158000001
0	1.0	1.0	0.0	1.0	-0	3.079457283
0	1.0	1.0	0.0	1.0	0.50040242353818787	1.7596898079000001
0	1.0	1.0	1.0	0.0	-0	1.5690587759000001
0	1.0	1.0	1.0	0.0	0.69314718055994529	1.2131659985000001
0	1.0	1.0	1.0	0.0	0.95027053923323468	1.1421897410999999
0	1.0	1.0	1.0	0.0	0.69314718055994529	0.48526638750000001
1	1.0	29.0	0.0	0.0	0.0	0.50033843499999997
1	1.0	10.0	1.0	1.0	0.30463609734923813	1.4334797859999999
1	1.0	7.0	1.0	0.0	-0	0.30215877289999998
1	1.0	5.0	1.0	1.0	-0	1.7608741522
1	1.0	4.0	0.0	0.0	-0	1.0302053689999999
1	1.0	2.0	0.0	1.0	-0	2.2010927200000001
1	1.0	1.0	1.0	1.0	-0	2.1789708137999999
1	1.0	1.0	1.0	1.0	0.69314718055994529	1.8676892518999999
1	1.0	1.0	1.0	1.0	-0	1.8050388098000001
1	1.0	2.0	0.0	1.0	0.63651416829481278	1.6483285427000001
2	1.0	192.0	0.0	0.0	0.0	0.67262864
2	1.0	10.0	1.0	0.0	2.1633160219422334	0.47700321699999998
2	1.0	4.0	0.0	1.0	-0	1.8809390068
2	1.0	2.0	1.0	1.0	0.0	2.3003430367000002
2	1.0	3.0	0.0	1.0	0.50040242353818787	1.6265882253999999
2	1.0	2.0	0.0	1.0	-0	2.3003430367000002
2	1.0	1.0	1.0	1.0	-0	2.3003430367000002
2	1.0	1.0	1.0	1.0	-0	2.3003430367000002
2	1.0	1.0	1.0	1.0	0.69314718055994529	1.4377143382999999
2	1.0	2.0	1.0	0.0	-0	1.0166176558
3	1.0	12.0	0.0	0.0	-0	0.296402365
3	1.0	4.0	0.0	0.0	3.5842365019886198	0.73539829249999999
3	1.0	1.0	1.0	1.0	1.5498260458782016	2.9342334270000001
3	1.0	1.0	1.0	1.0	1.6094379124341005	0.82099390029999997
3	1.0	1.0	0.0	1.0	-0	3.1600069999999998
3	1.0	1.0	0.0	1.0	-0	2.5280056000000002
3	1.0	1.0	1.0	0.0	-0	2.2120049000000002
3	1.0	1.0	1.0	0.0	0.0	2.2120049000000002
3	1.0	1.0	0.0	1.0	0.69314718055994529	1.8960041999999999
3	1.0	1.0	1.0	0.0	0.69314718055994529	1.6767048836
4	1.0	1.0	1.0	1.0	0.0	3.367180109
4	1.0	1.0	1.0	0.0	-0	3.367180109
4	1.0	1.0	1.0	0.0	0.69314718055994529	2.8571469783999999
4	1.0	1.0	1.0	0.0	-0	2.6937441826000001
4	1.0	1.0	0.0	1.0	0.69314718055994529	2.3809559345000002
4	1.0	2.0	0.0	0.0	-0	1.9047646522999999
4	1.0	1.0	1.0	0.0	-0	1.6723687649000001
4	1.0	1.0	1.0	0.0	-0	1.531046629
4	1.0	1.0	0.0	1.0	-0	1.531046629
4	1.0	1.0	1.0	0.0	-0	1.1785130501000001
5	1.0	10.0	0.0	1.0	2.4670785600285638	1.2064836029999999
5	1.0	3.0	1.0	0.0	0.69314718055994529	2.6675763130000001
5	1.0	3.0	1.0	0.0	0.0	2.5641815661999998
5	1.0	2.0	0.0	1.0	2.3588841306287831	0.71122777459999997
5	1.0	2.0	1.0	0.0	1.0397207708399179	0.47645217179999999
5	1.0	1.0	0.0	1.0	-0	2.5123093127999998
5	1.0	0.0	1.0	1.0	1.5607104090414063	1.0674636364000001
5	1.0	1.0	1.0	0.0	-0	1.0467954874000001
5	1.0	1.0	0.0	1.0	1.5607104090414063	1.0467954874000001
5	1.0	1.0	0.0	1.0	1.5607104090414063	0.93271678690000004
6	1.0	2.0	1.0	1.0	-0	1.3754200935000001
6	1.0	3.0	0.0	1.0	2.3864102028340204	0.63383686539999995
6	1.0	2.0	1.0	0.0	-0	2.2756354809000001
6	1.0	2.0	0.0	1.0	3.4621515895865036	0.6144744754
6	1.0	2.0	1.0	0.0	-0	0.38122534749999998
6	1.0	1.0	0.0	1.0	-0	2.5935168266000002
6	1.0	2.0	0.0	0.0	0.0	2.2923667431000001
6	1.0	1.0	1.0	0.0	0.0	2.2693274021000001
6	1.0	1.0	0.0	1.0	1.9722469794234416	2.014070034
6	1.0	1.0	1.0	0.0	0.69314718055994529	1.7067266702999999
7	1.0	2.0	1.0	0.0	0.0	0.92701876159999996
7	1.0	2.0	1.0	0.0	-0	0.81354504819999995
7	1.0	1.0	0.0	1.0	-0	4.0329718589999999
7	1.0	1.0	0.0	1.0	0.69314718055994529	2.0164859294999999
7	1.0	1.0	0.0	1.0	-0	1.94896245
7	1.0	1.0	0.0	1.0	3.4513633638904477	1.1484371423999999
7	1.0	1.0	1.0	0.0	-0	0.74045997860000001
7	1.0	1.0	0.0	1.0	2.9977665653806165	0.48057445879999999
7	1.0	1.0	0.0	1.0	3.3826829540279379	0.46350938079999998
7	1.0	1.0	1.0	0.0	-0	0.4306489825
8	1.0	1.0	1.0	1.0	-0	2.2470827103
8	1.0	2.0	1.0	0.0	-0	1.0010364056000001
8	1.0	2.0	1.0	0.0	-0	0.55725300310000003
8	1.0	2.0	1.0	0.0	-0	0.36741107699999997
8	1.0	1.0	1.0	0.0	-0	2.5680942535
8	1.0	1.0	0.0	1.0	0.69314718055994529	1.2012435198
8	1.0	1.0	1.0	0.0	-0	1.1237294674
8	1.0	1.0	1.0	0.0	-0	0.97555130720000005
8	1.0	1.0	0.0	1.0	2.2055983590263932	0.6420235634
8	1.0	1.0	1.0	0.0	-0	0.48777565360000003
9	1.0	7.0	1.0	1.0	-0	1.2273087502
9	1.0	6.0	0.0	1.0	3.0842082968011963	0.79345774650000001
9	1.0	6.0	0.0	0.0	2.7171341822089921	1.1303539276000001
9	1.0	5.0	0.0	1.0	1.8655592107414816	0.84455072880000004
9	1.0	4.0	1.0	0.0	-0	2.2337431907999998
9	1.0	4.0	0.0	1.0	2.2868144987653949	0.75807225700000003
9	1.0	3.0	1.0	1.0	0.56233514461880829	0.56461691859999996
9	1.0	4.0	0.0	1.0	2.4670785600285638	0.51222109790000003
9	1.0	2.0	1.0	1.0	0.63651416829481278	1.5794949532
9	1.0	3.0	0.0	1.0	1.2424533248940002	1.2090489864
10	1.0	27.0	1.0	1.0	-0	1.1986457109999999
10	1.0	21.0	1.0	1.0	1.4420533776222986	1.02403903
10	1.0	12.0	1.0	1.0	0.63651416829481278	1.641177058
10	1.0	10.0	1.0	1.0	0.30463609734923813	1.1154718400000001
10	1.0	3.0	1.0	1.0	-0	1.4893567562000001
10	1.0	2.0	1.0	1.0	-0	1.6951410769999999
10	1.0	2.0	1.0	1.0	-0	1.4826188087000001
10	1.0	3.0	0.0	1.0	-0	1.1860949993000001
10	1.0	3.0	0.0	1.0	0.95027053923323468	1.0307219028000001
10	1.0	3.0	0.0	1.0	1.6674619334292946	0.80513095859999995
11	1.0	10.0	0.0	0.0	0.0	1.981307387
11	1.0	3.0	0.0	1.0	1.8343719702816235	1.1441522837
11	1.0	1.0	1.0	1.0	-0	3.3093755245000001
11	1.0	1.0	1.0	1.0	0.69314718055994529	3.2884535789
11	1.0	2.0	0.0	1.0	-0	2.0475716590999999
11	1.0	3.0	0.0	0.0	1.4941751382893085	1.6553304195
11	1.0	2.0	0.0	1.0	-0	1.3162925243000001
11	1.0	2.0	1.0	0.0	-0	1.1700408459
11	1.0	2.0	0.0	1.0	3.1624840113047492	1.1240535974999999
11	1.0	3.0	0.0	0.0	0.95027053923323468	0.14993980530000001
12	1.0	1.0	1.0	1.0	-0	3.7587609291000001
12	1.0	1.0	1.0	1.0	-0	3.7587609291000001
12	1.0	2.0	1.0	0.0	-0	1.5562026500999999
12	1.0	1.0	1.0	0.0	-0	3.7619156836999998
12	1.0	1.0	1.0	0.0	-0	3.7619156836999998
12	1.0	1.0	0.0	1.0	-0	3.7587609291000001
12	1.0	1.0	0.0	1.0	-0	3.7587609291000001
12	1.0	1.0	1.0	0.0	1.0986122886681096	3.2579145432000001
12	1.0	1.0	0.0	1.0	1.0986122886681096	2.6848292351
12	1.0	1.0	1.0	0.0	0.69314718055994529	2.6600761413999998
13	1.0	4.0	1.0	0.0	0.50040242353818787	0.14008395370000001
13	1.0	2.0	1.0	0.0	-0	2.4109880923999998
13	1.0	1.0	1.0	0.0	-0	2.7277216911000002
13	1.0	1.0	1.0	0.0	-0	2.7277216911000002
13	1.0	1.0	1.0	0.0	-0	2.1661543846
13	1.0	2.0	0.0	0.0	-0	1.9287903309000001
13	1.0	1.0	0.0	1.0	0.0	0.85241299869999998
13	1.0	1.0	1.0	0.0	0.0	0.68193042280000005
13	1.0	1.0	0.0	0.0	-0	2.7277216911000002
13	1.0	1.0	0.0	0.0	0.0	2.5988554955000001
14	1.0	8.0	1.0	1.0	3.0842082968011963	0.87394773999999997
14	1.0	9.0	0.0	0.0	0.0	2.8257951736
14	1.0	7.0	1.0	1.0	3.2125390319195297	0.87841254469999996
14	1.0	6.0	0.0	0.0	2.7171341822089921	1.1401598453999999
14	1.0	4.0	0.0	1.0	2.3331967142862471	0.94168508049999999
14	1.0	3.0	1.0	0.0	-0	2.7191228867000001
14	1.0	3.0	1.0	0.0	-0	0.64731234309999997
14	1.0	1.0	1.0	1.0	2.2063965275411177	2.1978406906000001
14	1.0	1.0	1.0	1.0	0.63651416829481278	0.99014842510000001
14	1.0	1.0	1.0	1.0	1.0397207708399179	0.81787770989999997
15	1.0	5.0	1.0	0.0	0.0	2.8196473121999999
15	1.0	3.0	1.0	1.0	-0	0.74624991419999998
15	1.0	1.0	1.0	1.0	-0	2.6311225890999999
15	1.0	1.0	1.0	1.0	-0	1.9733419418
15	1.0	2.0	0.0	1.0	3.0008004527068852	0.81801855560000003
15	1.0	1.0	1.0	0.0	0.0	3.2889032363999999
15	1.0	1.0	0.0	1.0	-0	2.6311225890999999
15	1.0	1.0	0.0	1.0	1.0986122886681096	2.3256056309000002
15	1.0	1.0	1.0	0.0	-0	1.6971762180000001
15	1.0	1.0	1.0	0.0	-0	1.604180336
16	1.0	2.0	1.0	1.0	0.63651416829481278	2.4182412624
16	1.0	1.0	0.0	1.0	-0	3.605474472
16	1.0	1.0	1.0	0.0	-0	3.605474472
16	1.0	1.0	1.0	0.0	-0	3.605474472
16	1.0	2.0	0.0	0.0	0.0	2.8378012180000001
16	1.0	1.0	0.0	0.0	0.0	3.605474472
16	1.0	1.0	0.0	0.0	-0	3.605474472
16	1.0	1.0	0.0	0.0	-0	3.605474472
16	1.0	1.0	0.0	0.0	1.7917594692280547	2.4323375225000001
16	1.0	1.0	0.0	0.0	-0	2.2534217833999999
17	1.0	5.0	1.0	0.0	1.0735428464085233	0.97472077609999996
17	1.0	3.0	1.0	1.0	-0	1.3618357182
17	1.0	2.0	1.0	1.0	-0	0.72323155400000005
17	1.0	1.0	1.0	1.0	0.0	1.6049389838999999
17	1.0	2.0	0.0	1.0	2.0582239041311672	1.3543586730999999
17	1.0	1.0	1.0	1.0	0.69314718055994529	0.8904818296
17	1.0	1.0	1.0	0.0	-0	4.1874032020999996
17	1.0	1.0	1.0	0.0	0.69314718055994529	2.7236714363000001
17	1.0	1.0	0.0	1.0	-0	2.5679023266000001
17	1.0	1.0	0.0	1.0	-0	2.2469143866999999
18	1.0	4.0	1.0	1.0	-0	2.9802513123000001
18	1.0	4.0	1.0	0.0	-0	1.1956112385
18	1.0	4.0	0.0	1.0	3.0008004527068852	0.85031062359999998
18	1.0	3.0	0.0	1.0	2.3046193848206715	0.74336636069999995
18	1.0	2.0	1.0	0.0	-0	2.7568161488
18	1.0	2.0	0.0	1.0	0.95569989111253428	1.9532744884
18	1.0	1.0	1.0	1.0	0.69314718055994529	1.9493633508999999
18	1.0	2.0	1.0	0.0	-0	1.144890666
18	1.0	2.0	1.0	0.0	-0	0.50834101440000001
18	1.0	2.0	1.0	0.0	-0	0.39204907420000001
19	1.0	1.0	1.0	1.0	-0	2.6593720912999999
19	1.0	1.0	1.0	0.0	-0	2.6593720912999999
19	1.0	1.0	1.0	0.0	0.69314718055994529	1.8585207462
19	1.0	1.0	1.0	0.0	-0	1.5272910595
19	1.0	1.0	1.0	0.0	-0	1.4298069476999999
19	1.0	1.0	1.0	0.0	-0	1.3296860455999999
19	1.0	1.0	1.0	0.0	-0	0.40161758660000002
19	1.0	1.0	0.0	0.0	-0	3.3242149353000001
19	1.0	1.0	0.0	0.0	0.0	2.6593720912999999
19	1.0	1.0	0.0	0.0	0.69314718055994529	2.3505749701999998
20	1.0	71.0	0.0	1.0	0.80224724214563092	1.8764661549999999
20	1.0	11.0	1.0	1.0	0.94959366771673837	2.0371956830000002
20	1.0	1.0	1.0	1.0	-0	3.9146184920999998
20	1.0	1.0	1.0	1.0	-0	3.9146184920999998
20	1.0	2.0	1.0	0.0	0.0	1.9346948862
20	1.0	1.0	1.0	0.0	0.0	3.3074603081
20	1.0	1.0	0.0	1.0	1.0986122886681096	1.653730154
20	1.0	1.0	0.0	1.0	0.63651416829481278	1.461704731
20	1.0	1.0	1.0	0.0	1.6094379124341005	1.447013855
20	1.0	1.0	0.0	1.0	2.0582239041311672	1.2568483353
21	1.0	1.0	1.0	1.0	0.69314718055994529	0.97237277030000002
21	1.0	2.0	1.0	0.0	-0	0.4911224246
21	1.0	1.0	1.0	0.0	-0	2.7418169975
21	1.0	1.0	1.0	0.0	-0	1.9644896984
21	1.0	2.0	0.0	0.0	-0	1.7255814075
21	1.0	1.0	1.0	0.0	-0	1.7136354445999999
21	1.0	1.0	1.0	0.0	-0	1.3751428127000001
21	1.0	1.0	1.0	0.0	-0	1.1786937714000001
21	1.0	1.0	1.0	0.0	-0	1.1786937714000001
21	1.0	0.0	1.0	1.0	-0	1.0281813145000001
22	1.0	1.0	1.0	0.0	-0	1.7668623924
22	1.0	1.0	0.0	1.0	1.242453324894	1.0306696892
22	1.0	1.0	1.0	0.0	0.69314718055994529	0.3867113888
22	1.0	1.0	0.0	1.0	0.69314718055994529	0.3786616921
22	1.0	1.0	1.0	0.0	-0	0.36628067489999999
22	1.0	1.0	1.0	0.0	-0	0.36106693740000001
22	1.0	1.0	1.0	0.0	-0	0.33730229740000001
22	1.0	1.0	1.0	0.0	-0	0.297223866
22	1.0	1.0	1.0	0.0	-0	0.24807627500000001
22	1.0	1.0	1.0	0.0	-0	0.24308127160000001
23	1.0	5.0	1.0	0.0	-0	0.80255156760000002
23	1.0	4.0	0.0	1.0	0.0	2.5042605400000002
23	1.0	2.0	1.0	0.0	-0	0.59969937799999995
23	1.0	1.0	0.0	1.0	-0	2.5042605400000002
23	1.0	2.0	0.0	0.0	-0	1.0067160129999999
23	1.0	1.0	1.0	0.0	-0	0.44771572949999999
23	1.0	1.0	1.0	0.0	-0	0.42615827919999999
23	1.0	1.0	1.0	0.0	-0	0.20735198260000001
23	1.0	1.0	0.0	0.0	-0	3.1303257942
23	1.0	1.0	0.0	0.0	-0	2.5042605400000002
24	1.0	3.0	0.0	0.0	2.3046193848206715	0.57656013969999997
24	1.0	1.0	0.0	1.0	0.69314718055994529	4.6434335709000001
24	1.0	1.0	0.0	1.0	1.852479124952062	3.7828216552999998
24	1.0	1.0	1.0	0.0	-0	2.7837586402999999
24	1.0	1.0	1.0	0.0	-0	2.0878190993999999
24	1.0	1.0	1.0	0.0	-0	1.8762304782999999
24	1.0	1.0	0.0	1.0	3.0752296997273678	1.6822549105
24	1.0	1.0	1.0	0.0	-0	1.2178944349
24	1.0	1.0	1.0	0.0	0.69314718055994529	1.0450339316999999
24	1.0	1.0	1.0	0.0	-0	0.93811523910000005
